Time Educt Product
[d]  
-1 102.8258569 0.001040182
0 95.35074408 0.001186159
1 101.5265551 0.001483308
2 104.5829086 0.001879882
3 97.39940335 0.00257568
4 98.56772146 0.003759199
5 99.1584364 0.004644001
6 100.2195776 0.006457745
7 96.63778674 0.007980979
8 102.7603842 0.01126845
9 97.78254051 0.014844731
10 96.03281042 0.019176337
11 96.55346361 0.025872676
12 95.87512789 0.032024061
13 96.36095964 0.040504406
14 100.1249525 0.054019008
15 99.77335851 0.067625814
16 100.4616052 0.087649944
17 101.2608216 0.107040468
18 102.6148085 0.150913467
19 100.244874 0.186746412
20 102.193609 0.239110079
21 99.45475061 0.322755382
22 101.8088568 0.42455895
23 103.3363291 0.530348854
24 97.20432842 0.804066145
25 98.35821418 0.933851305
26 100.8042315 1.236698479
27 102.2284296 1.609392716
28 97.53397073 2.192665521
29 93.48679118 2.652998315
30 95.46698822 3.200082059
31 92.81910192 4.591565566
32 96.16309143 5.597536346
33 88.57409985 7.407641024
34 91.78610236 9.304794863
35 83.82441942 11.72761003
36 85.84057806 15.72145694
37 82.59555401 21.0633426
38 76.98161666 26.3522996
39 67.4801631 34.28121089
40 58.50075198 41.24793892
41 54.00885331 49.7269966
42 42.49965214 57.56863715
43 39.27919126 62.95866442
44 30.96745841 67.24274856
45 22.90219731 76.38451563
46 16.96480066 86.93325781
47 13.37326386 89.68646697
48 10.58463359 92.08794113
49 8.402972976 94.94694796
50 6.503930614 89.73102504
51 4.371173726 96.20557744
52 3.227316311 95.20720154
53 2.345322699 97.71499767
54 1.647269474 101.2685548
55 1.334265826 94.20340358
56 0.840515855 101.6803558
57 0.59224728 100.422097
58 0.464913752 96.96374249
59 0.352045051 98.50620229
60 0.277284446 98.04687042
61 0.212933136 103.2680645
62 0.135548889 99.16098882
63 0.097907446 101.2443244
64 0.06485003 104.2304688
65 0.045269129 99.67616368
66 0.028836207 103.6929974
67 0.018545968 100.128215
68 0.012879311 97.07190089
69 0.010236059 96.5660816
70 0.006668562 101.6245113
71 0.00426892 101.3864528
72 0.003083214 100.2381303
73 0.001973782 99.67218711
74 0.001581413 100.4711715
75 0.001034151 97.25896096
76 0.000779143 99.81003965
77 0.000530964 100.8388631
78 0.000399558 104.0064008
79 0.00024464 99.53753531
80 0.000167169 99.82915094
81 0.000112845 104.534527
82 6.78E-05 100.2247035
83 5.06E-05 96.43298335
84 4.08E-05 101.4174469
85 2.72E-05 98.869784
86 2.04E-05 104.9327097
87 1.48E-05 100.7272521
88 1.10E-05 97.38062705
89 8.66E-06 96.27702439
90 6.37E-06 101.6405664
91 4.72E-06 103.2762007
92 3.33E-06 100.6367784
93 2.33E-06 102.3363466
94 1.49E-06 102.1672811
95 1.07E-06 95.31933729
96 7.23E-07 103.6144069
97 4.42E-07 97.85113939
98 2.88E-07 103.8181059
