Time Educt Product
[d] [] []
-1 100.8678176 0.001014775
0 91.75224806 0.001171591
1 98.12346053 0.001427865
2 100.513496 0.001873661
3 94.40621118 0.002497393
4 97.31409395 0.00364055
5 97.14816945 0.00452759
6 97.45820287 0.006355251
7 93.95125108 0.007812072
8 101.7842171 0.010943842
9 93.89307385 0.014723416
10 95.55923433 0.018667105
11 95.35506782 0.025789199
12 95.04134667 0.030844228
13 94.54696448 0.039680398
14 97.80090872 0.05323172
15 98.77674938 0.066107919
16 96.54719247 0.087327216
17 100.0873208 0.106797949
18 100.3121513 0.150058079
19 98.03716009 0.185657159
20 99.75160643 0.231970134
21 96.88173728 0.311080325
22 99.99958425 0.423365006
23 100.3526721 0.521336695
24 94.20350645 0.798893012
25 94.56690199 0.907872911
26 97.97594491 1.195094602
27 101.6651917 1.577940745
28 95.39942805 2.172320616
29 93.19296988 2.585000227
30 91.98599218 3.123081772
31 92.60871214 4.580951459
32 93.08412252 5.48304381
33 86.25125407 7.173190561
34 90.67788985 9.048666475
35 81.88709616 11.3991561
36 85.76360577 15.31358582
37 82.59124804 20.34837785
38 75.73764054 26.11371811
39 66.61984677 33.2683666
40 57.14649325 40.6601848
41 52.90956438 48.10459124
42 41.47479636 55.87683714
43 38.90591756 61.82886932
44 30.63198804 66.53406941
45 22.31332007 75.67852029
46 16.45284142 84.54955418
47 13.08839762 86.15973949
48 10.20212625 88.5092084
49 8.377993834 93.56755197
50 6.500608435 86.41989099
51 4.322766852 95.01743287
52 3.179727017 93.76767186
53 2.318204625 97.06924205
54 1.640884263 97.51175434
55 1.303375436 90.86754449
56 0.840295875 99.90568186
57 0.57771275 99.72949075
58 0.449542011 96.29019804
59 0.344577785 96.45305529
60 0.275693054 96.56433385
61 0.204921468 100.5487047
62 0.130875322 95.69852521
63 0.096002876 97.60538732
64 0.064048454 102.7516384
65 0.043677556 97.67358951
66 0.028714012 99.62878864
67 0.018122429 99.72962877
68 0.012409224 94.27495863
69 0.0099443 94.77049796
70 0.006575823 100.4522498
71 0.004171768 100.8598204
72 0.003053085 99.68579255
73 0.001918073 97.73789624
74 0.001563846 98.64746784
75 0.001020836 94.50724405
76 0.000767449 98.9369971
77 0.000529414 100.4596671
78 0.000384362 103.6606232
79 0.000241789 95.65319051
80 0.000161023 96.79003349
81 0.000108408 102.8806015
82 6.61E-05 96.87963212
83 4.88E-05 94.28858032
84 4.00E-05 100.0757928
85 2.70E-05 96.23592144
86 2.03E-05 103.9014121
87 1.45E-05 97.31653168
88 1.09E-05 95.67887404
89 8.64E-06 93.37543165
90 6.13E-06 101.2864463
91 4.70E-06 102.046979
92 3.31E-06 98.54202817
93 2.27E-06 99.04253262
94 1.47E-06 98.73049992
95 1.05E-06 93.27196457
96 7.13E-07 102.0647128
97 4.28E-07 96.32324268
98 2.78E-07 102.8513496
